#Temperature    m    X                         X_error                   c                         c_error 
2.0           64   1.3154437154550003E-002   2.0517067647369623E-002   1.5296694627631169E-002   3.1289092897228157E-002
2.1           64   8.2514993885293306E-002   5.0147691468610790E-002   3.1084327559406478E-002   4.4603084347317377E-002
2.27           64   1482.7637061649284        6.4657245829895160       0.93055049900324893       0.24404174934107090     
2.2           64   1.7389135262714137       0.22491675480327888       0.13865587440835142        9.4202687671959343E-002
2.3           64   1463.4233099975600        6.3813890449505237       0.90643358531452589       0.24085859608879609     
2.4           64   38.180896730847465        1.0090474692254767        7.6402143255898003E-002   6.9927326998326725E-002
2.5           64   7.0085887681774901       0.42358389652233536        2.9894931079255123E-002   4.3741425731185703E-002
2.6           64   2.1156340028997511       0.22820636403733363        1.7300457365515453E-002   3.3275374147985898E-002
2.7          256  0.22530950611731967       0.14616257885283196        3.0600501407297143E-003   2.7989335838899357E-002
2.8          128  0.22274392254644346       0.10091005894910988        4.7750689227518068E-003   2.4722953995821698E-002
2.9          128  0.12742415779246774        7.4995884373526694E-002   3.8817578834199843E-003   2.2290754191188943E-002
3.0          128   8.1509553582534491E-002   5.8973129349750429E-002   3.3561998672807882E-003   2.0726905025182724E-002
