	   m  magnetic_sus		 magnetic_sus_error       heat_cap		     heat_cap_error
           1   65.566696211953996       0.16528681945229265        1.1229559273484724        3.3510706664520093E-002
           2   64.538918629977985       0.23191157965457798       0.76283124052570217        3.9059928546249234E-002
           4   63.087513078481877       0.32426370234580426       0.52635655149118554        4.5885162165980577E-002
           8   60.606567671997603       0.44947097226694388       0.35607994380964147        5.3372946843975214E-002
          16   56.221986855150490       0.61222385070489593       0.22901487732210657        6.0533337322569727E-002
          32   48.897744247710222       0.80745300481730753       0.13730826164458212        6.6286760926510244E-002
          64   38.180896730847465        1.0090474692254767        7.6402143255898003E-002   6.9927326998326725E-002
         128   25.712003294515327        1.1710431028480806        4.0434925933764534E-002   7.1943054043575386E-002
         256   15.074853090288986        1.2680875674022842        2.0574669319342292E-002   7.2576288223255500E-002
         512   8.0270647445371939        1.3086443680541473        1.0526781828553959E-002   7.3417009550486662E-002
        1024   4.1453657789354432        1.3300314875632782        5.2577187973727275E-003   7.3381196803199017E-002
        2048   2.0860043994635253        1.3344354949180752        2.5898823876386377E-003   7.2842629762654126E-002
        4096   1.0760001328138555        1.3555190595446049        1.2542529865791322E-003   7.1696450758917202E-002
        8192  0.53092872012831960        1.3471334986841501        6.2744721494096341E-004   7.1744191398978738E-002
