	   m  magnetic_sus		 magnetic_sus_error       heat_cap		     heat_cap_error
           1   25.028757475261148       0.10005800371488677       0.86175863780013651        2.9355882116924088E-002
           2   23.887485026444562       0.13823958530423955       0.53423218622938873        3.2687540212144060E-002
           4   22.328879900241486       0.18901475973289270       0.32906369138885350        3.6280414221517863E-002
           8   19.865180565390613       0.25212950994539257       0.19477782816252903        3.9474549628108264E-002
          16   16.146449356419740       0.32146321502646746       0.10908920064238717        4.1778577736207939E-002
          32   11.466784832654342       0.38311511885214061        5.8094049280299501E-002   4.3116578336303259E-002
          64   7.0085887681774901       0.42358389652233536        2.9894931079255123E-002   4.3741425731185703E-002
         128   3.8607103453371341       0.44460480217949450        1.5125263976756290E-002   4.4000947213253844E-002
         256   2.0261218515892030       0.45550284844771061        7.6460262864230825E-003   4.4243167727535428E-002
         512   1.0381798506599773       0.46112128764246851        3.7868397033236087E-003   4.4033918568282399E-002
        1024  0.52355298357509050       0.46312308519683071        1.8869395386644787E-003   4.3960751068061334E-002
        2048  0.26469103303307989       0.46574178818536593        9.4726609347617363E-004   4.4053619283133415E-002
        4096  0.12962006609629434       0.46096844971567219        4.8088949746727410E-004   4.4394353036134863E-002
        8192   6.2421116063722998E-002  0.45257848838630682        2.5138509407440784E-004   4.5411716153093404E-002
