	   m  magnetic_sus		 magnetic_sus_error       heat_cap		     heat_cap_error
           1   13.763745688088967        7.2758517088548483E-002  0.70495429610560600        2.6551113517111390E-002
           2   12.578481012029133        9.8365915430136855E-002  0.40867478981022154        2.8589472265821696E-002
           4   11.057396723637067       0.13042835771038144       0.23253221936004617        3.0498172586536795E-002
           8   8.9328993348917063       0.16578948082508999       0.12713289854160884        3.1891606643480931E-002
          16   6.3187257970960680       0.19719270821005622        6.6714563110272670E-002   3.2671802428413853E-002
          32   3.8487592421683945       0.21764673772108981        3.4158031597839505E-002   3.3061677142813550E-002
          64   2.1156340028997511       0.22820636403733363        1.7300457365515453E-002   3.3275374147985898E-002
         128   1.1004275829429937       0.23275799299678548        8.6581071694110633E-003   3.3290630734231483E-002
         256  0.56081689185232109       0.23499151996179232        4.3671756868275367E-003   3.3437104007948776E-002
         512  0.28266699326974504       0.23593901068103496        2.1479280957409658E-003   3.3163376804492925E-002
        1024  0.14405920479382406       0.23821546207054398        1.0739432121376069E-003   3.3164753592834814E-002
        2048   7.1625671859947934E-002  0.23757091838769140        5.2698730126576161E-004   3.2858343774996447E-002
        4096   3.5777518834330758E-002  0.23747807635696802        2.5828139002947802E-004   3.2535062161962280E-002
        8192   1.8770887773576085E-002  0.24336262421138793        1.3221200498637230E-004   3.2933173603810331E-002
