	   m  magnetic_sus		 magnetic_sus_error       heat_cap		     heat_cap_error
           1  0.96095455408403840        2.1391634496322844E-002  0.96337267090467538        3.1038413320760724E-002
           2  0.72830749993302824        2.6336918660867889E-002  0.58214533452890826        3.4121879527617041E-002
           4  0.53943337435062111        3.2054684710751874E-002  0.34915490179611880        3.7371568105005158E-002
           8  0.37599816798009450        3.7846928817360348E-002  0.20280106578089521        4.0279358416919882E-002
          16  0.24215751342614494        4.2953850175969199E-002  0.11293268188683304        4.2508188454008618E-002
          32  0.14456487806529289        4.6935366578755647E-002   6.0168929898931377E-002   4.3879796429154815E-002
          64   8.2514993885293306E-002   5.0147691468610790E-002   3.1084327559406478E-002   4.4603084347317377E-002
         128   4.6895465497626389E-002   5.3464600050529040E-002   1.5800324834846780E-002   4.4972139921191825E-002
         256   2.5589428698236102E-002   5.5853316913090797E-002   8.0211820597025675E-003   4.5315576282219806E-002
         512   1.2918799146317231E-002   5.6124218124094301E-002   4.0362329271239538E-003   4.5460791127753676E-002
        1024   6.5905665258547677E-003   5.6694097122907280E-002   2.0369082968567692E-003   4.5674295212520727E-002
        2048   3.3376957948794664E-003   5.7063620786882985E-002   1.0247491774263301E-003   4.5819926141598806E-002
        4096   1.6757570278503832E-003   5.7187480475937989E-002   5.0766294468786491E-004   4.5613438260813578E-002
        8192   8.3199335516275538E-004   5.7009657047351524E-002   2.4682545752802219E-004   4.4997988424728533E-002
